incident_id,incident_date,market_id,severity,category,description,resolution
INC0021,2026-03-07,M004,High,Market Data,"Reference data for a newly listed PEG Natural Gas contract was missing tick-size and lot-size fields, so the instrument could not be quoted at open.",Reference data completed and a mandatory-field validation gate added before instruments go live.
INC0017,2026-03-14,M009,Medium,Order Rejection,Price-collar checks on OMIE Iberian Power rejected legitimate orders during a fast market because the collar band was too narrow for the prevailing volatility.,Dynamic collar widening tied to realised volatility was enabled; static bands retained only as a backstop.
INC0003,2026-03-19,M009,Medium,Market Data,"Delayed settlement price publication for OMIE Iberian Power. The reference price feed lagged the exchange by roughly 12 minutes, causing several mark-to-market screens to display stale values.",Root cause traced to a stuck consumer thread on the ingestion service; the feed handler was restarted and lag alerting added.
INC0018,2026-03-19,M007,High,Capacity,"Order book depth requests on Nord Pool Nordic Power overwhelmed the snapshot service during an expiry, causing timeouts on the depth-of-market widget.",Snapshot service moved behind a cache with short TTL; expiry-day load testing added to the release cycle.
INC0027,2026-03-31,M008,Medium,Market Data,"Timestamp skew on N2EX UK Power prints was observed after an NTP source drifted, complicating latency measurement.",NTP realigned to a stratum-1 source and clock-drift alerting enabled.
INC0022,2026-04-03,M011,High,Latency,A noisy-neighbour effect on shared infrastructure raised Zeebrugge Natural Gas matching latency during a co-tenant batch job.,Matching engine isolated onto dedicated hosts; batch workloads rescheduled outside trading hours.
INC0010,2026-04-14,M010,Medium,Capacity,"Message throughput on EUA Carbon Emissions approached 92% of provisioned capacity during an unusually active session, raising queueing risk for the close.",Capacity headroom increased ahead of the next expiry and an auto-scaling policy drafted for burst periods.
INC0041,2026-04-21,M008,Medium,Capacity,Depth-of-book fan-out to a growing number of N2EX UK Power subscribers increased publisher CPU close to threshold.,Publisher scaled horizontally and delta-only updates enabled to cut bandwidth.
INC0007,2026-04-25,M011,Medium,Authentication,Several Zeebrugge Natural Gas users were unable to log in after a certificate rotation. Expired intermediate certificates were not distributed to all trading front-ends.,Certificates redeployed across the estate and an automated expiry dashboard created to pre-empt recurrence.
INC0004,2026-05-01,M012,Medium,Order Rejection,A batch of limit orders on UKA Carbon Emissions was rejected with an invalid-tick-size error after an instrument specification change was applied mid-session without notice to connected clients.,Instrument reference data rolled back; a change-freeze window was introduced for spec updates during trading hours.
INC0039,2026-05-18,M001,Medium,Clearing,"Position-transfer requests for TTF Natural Gas queued behind a long-running reconciliation, delaying confirmations to two members.",Reconciliation batched into smaller units and transfers prioritised on the queue.
INC0031,2026-05-23,M001,High,Connectivity,BGP route flap upstream of the TTF Natural Gas primary site caused brief but repeated market-data gaps over a ten-minute period.,Carrier stabilised the route; additional route monitoring and a diverse transit provider were added.
INC0012,2026-05-26,M006,Medium,Settlement,"End-of-day settlement run for EPEX French Power completed late due to a slow reference-rate dependency, pushing statement generation past the usual cut-off.",Dependency call parallelised and a fallback cached rate introduced; the batch now finishes within the window.
INC0033,2026-05-26,M009,Low,Market Data,A cosmetic rounding difference on OMIE Iberian Power close prices between the API and the UI generated client confusion.,Rounding unified to the exchange convention across all channels.
INC0016,2026-05-30,M008,Medium,Clearing,"Margin call file for N2EX UK Power cleared trades was formatted incorrectly after a schema change at the clearing house, blocking automated ingestion.",Parser updated to the new schema and a contract test added against the clearing house specification.
INC0023,2026-05-30,M012,High,Settlement,"A pricing-source outage delayed variation-margin calculation for UKA Carbon Emissions, risking a missed clearing-house deadline.",Secondary pricing source activated and margin recomputed in time; automatic source failover implemented.
INC0040,2026-06-02,M009,High,Authentication,A brute-force login pattern against OMIE Iberian Power API credentials was detected from an unusual geography.,"Offending IPs blocked, affected keys rotated, and adaptive rate-limiting with anomaly alerts enabled."
INC0009,2026-06-04,M005,High,Market Data,"A conflated price snapshot on EEX German Power briefly published a negative spread, tripping several algo strategies into a protective halt.",Publisher input validation hardened to reject crossed books; downstream consumers now sanity-check bid/offer ordering.
INC0013,2026-06-09,M002,High,Connectivity,"A regional data-centre network partition isolated the NBP Natural Gas disaster-recovery site from the primary for six minutes, pausing replication.",Link restored by the carrier; replication caught up automatically and a third independent path was commissioned.
INC0030,2026-06-11,M001,Medium,Authentication,Single sign-on outage prevented new TTF Natural Gas sessions for four minutes during an identity-provider maintenance window that overran.,Local fallback authentication enabled for trusted networks; maintenance windows moved outside trading hours.
INC0034,2026-06-16,M010,High,Capacity,"A surge of algorithmic order amendments on EUA Carbon Emissions pushed the amend queue to saturation, delaying acknowledgements.",Amend path optimised and per-session amendment rate limits introduced.
INC0038,2026-06-23,M001,High,Market Data,A schema change on the TTF Natural Gas trade feed broke a downstream analytics consumer that assumed a fixed field order.,Consumer updated to parse by field name; a versioned schema registry was adopted for the feed.
INC0026,2026-06-25,M002,Medium,Capacity,"Historical-data export jobs for NBP Natural Gas contended with live query traffic, slowing the analytics dashboard.",Export workload moved to a read replica and scheduled off-peak.
INC0036,2026-06-27,M003,Low,Connectivity,A planned firewall rule change temporarily blocked a THE Natural Gas client's new source IP range that had not been whitelisted.,IP range whitelisted and a self-service network change request flow introduced.
INC0035,2026-06-29,M006,Medium,Settlement,Netting logic for EPEX French Power produced an unexpected gross position for a client whose accounts were misconfigured.,Account grouping corrected; netting configuration validation added at onboarding.
INC0024,2026-07-05,M002,Low,Order Rejection,Odd-lot orders on NBP Natural Gas were rejected against a minimum-quantity rule that a client was unaware of following a rule change.,Rule change re-communicated and a clearer rejection message deployed.
INC0006,2026-07-08,M007,Low,Connectivity,Intermittent packet loss observed on the Nord Pool Nordic Power multicast market-data channel affecting a single co-located client rack. No trading impact but quote updates appeared jittery.,Network provider replaced a faulty line card; the affected client resubscribed cleanly.
INC0011,2026-07-10,M012,Low,Order Rejection,Self-match prevention on UKA Carbon Emissions rejected a small number of orders where a participant crossed its own resting interest. Behaviour was correct but generated client queries.,No fix required; client documentation clarified and a rejection-reason tooltip added to the front-end.
INC0015,2026-07-12,M008,Low,Latency,Minor latency creep on N2EX UK Power attributed to verbose debug logging left enabled after a prior investigation.,Logging returned to production level; a pre-release checklist item was added to catch stray debug flags.
INC0002,2026-07-13,M010,High,Latency,"Order acknowledgement latency on EUA Carbon Emissions spiked to 780ms during a volatility surge, well above the 50ms SLA. Matching-engine queue depth grew as message rates tripled around the day-ahead price print.",Additional matching-engine partitions provisioned and the hot path profiled; latency returned to sub-20ms after rebalancing.
INC0005,2026-07-20,M004,High,Clearing,"Trade registration to the clearing house failed for a block of PEG Natural Gas trades. Give-up instructions were not acknowledged, leaving 14 trades in a pending state overnight.",Clearing bridge queue drained manually and reconciled the next morning; idempotent retry logic added to the registration adapter.
